City ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
112,Saint George,US,2021-12-17 05:01:02,37.1041,-113.5841,37.99,73,1,3.0
113,Tiznit,MA,2021-12-17 05:11:54,29.5833,-9.5,51.35,39,26,7.67
114,Caala,AO,2021-12-17 05:11:55,-12.8525,15.5606,60.33,98,100,1.43
115,Bodrum,TR,2021-12-17 05:11:55,37.0383,27.4292,49.48,71,89,13.58
116,Jalu,LY,2021-12-17 05:11:55,29.0331,21.5482,49.75,71,24,4.5
117,Victoria,HK,2021-12-17 05:09:43,22.2855,114.1577,76.24,64,100,1.99
118,Saskylakh,RU,2021-12-17 05:11:56,71.9167,114.0833,-32.08,99,85,2.21
119,San Patricio,US,2021-12-17 05:11:56,28.017,-97.5169,73.83,87,70,12.55
120,Guiratinga,BR,2021-12-17 05:11:57,-16.3494,-53.7583,70.65,98,100,4.43
121,Saurimo,AO,2021-12-17 05:11:57,-9.6608,20.3916,63.82,97,100,4.09
122,Dudinka,RU,2021-12-17 05:11:58,69.4058,86.1778,-41.73,100,59,3.36
123,Puerto Ayora,EC,2021-12-17 05:11:58,-0.7393,-90.3518,69.55,95,78,3.0
124,Carnarvon,AU,2021-12-17 05:11:59,-24.8667,113.6333,77.07,53,24,17.27
125,Yellowknife,CA,2021-12-17 05:11:59,62.456,-114.3525,-20.58,85,91,4.0
126,Namibe,AO,2021-12-17 05:12:00,-15.1961,12.1522,65.26,80,28,3.76
127,River Falls,US,2021-12-17 05:12:00,44.8614,-92.6238,20.32,76,5,13.09
128,Lompoc,US,2021-12-17 05:12:01,34.6391,-120.4579,53.38,89,1,0.0
129,Camopi,GF,2021-12-17 05:12:01,3.1655,-52.3158,72.01,99,99,1.83
130,Qinggang,CN,2021-12-17 05:12:02,46.6833,126.0833,-2.45,76,14,11.14
131,Mount Gambier,AU,2021-12-17 05:12:02,-37.8333,140.7667,86.56,20,81,5.19
132,Dunedin,NZ,2021-12-17 05:12:02,-45.8742,170.5036,60.8,66,45,1.99
133,Mount Isa,AU,2021-12-17 05:02:49,-20.7333,139.5,101.97,21,40,5.75
134,Ixtapa,MX,2021-12-17 05:10:54,20.7,-105.2,72.23,89,20,2.66
135,Nikolsk,RU,2021-12-17 05:12:03,53.7189,46.0712,30.4,97,100,9.8
136,Mufumbwe,ZM,2021-12-17 05:12:04,-13.6833,24.8,65.57,93,100,2.91
137,Geraldton,AU,2021-12-17 05:02:27,-28.7667,114.6,76.12,43,40,16.11
138,Saint-Philippe,RE,2021-12-17 05:12:04,-21.3585,55.7679,79.21,77,59,9.1
139,Bushehr,IR,2021-12-17 05:12:05,28.9684,50.8385,70.5,59,69,9.6
140,Albany,US,2021-12-17 05:07:14,42.6001,-73.9662,61.66,61,99,9.33
141,Nantucket,US,2021-12-17 05:09:45,41.2835,-70.0995,57.31,88,1,17.27
142,Barrow,US,2021-12-17 05:12:06,71.2906,-156.7887,-9.38,77,90,23.02
143,Jacqueville,CI,2021-12-17 05:11:19,5.2052,-4.4146,78.71,80,54,5.23
144,Dharangaon,IN,2021-12-17 05:12:06,21.0167,75.2667,77.14,40,25,5.99
145,Mayo,US,2021-12-17 05:12:07,38.8876,-76.5119,64.38,65,20,4.0
146,Alekseyevsk,RU,2021-12-17 05:12:07,57.8406,108.3492,8.51,94,100,11.43
147,Lata,PT,2021-12-17 05:12:08,40.1629,-8.3327,48.04,75,31,5.48
148,New Norfolk,AU,2021-12-17 05:12:08,-42.7826,147.0587,76.91,33,60,3.0
149,Zhovtneve,UA,2021-12-17 05:12:09,50.6637,24.2492,35.71,80,99,16.55
150,Ekhabi,RU,2021-12-17 05:12:09,53.5102,142.9671,-5.33,91,100,18.23
151,Beringovskiy,RU,2021-12-17 05:12:10,63.05,179.3167,-11.31,99,95,6.78
152,Olavarria,AR,2021-12-17 05:12:10,-36.8927,-60.3225,58.21,89,2,7.56
153,Esperance,AU,2021-12-17 05:11:08,-33.8667,121.9,68.13,64,41,19.82
154,Berlevag,NO,2021-12-17 05:12:11,70.8578,29.0864,33.8,93,99,3.38
155,Hovd,MN,2021-12-17 05:12:11,48.0056,91.6419,10.67,59,26,0.51
156,Gushikawa,JP,2021-12-17 05:12:11,26.3544,127.8686,67.59,64,90,20.71
157,Luderitz,NA,2021-12-17 05:12:12,-26.6481,15.1594,64.04,64,68,7.74
158,Itoman,JP,2021-12-17 05:12:12,26.1247,127.6694,68.38,68,75,24.16
159,Dilla,ET,2021-12-17 05:12:13,6.41,38.31,67.15,61,83,1.7
160,Hualmay,PE,2021-12-17 05:12:13,-11.0964,-77.6139,66.99,87,43,6.96
161,Chokurdakh,RU,2021-12-17 05:12:14,70.6333,147.9167,-27.85,99,65,8.46
162,Vallenar,CL,2021-12-17 05:12:14,-28.5708,-70.7581,66.61,51,0,2.13
163,Hervey Bay,AU,2021-12-17 05:12:14,-25.2986,152.8535,86.11,57,11,13.51
164,Quelimane,MZ,2021-12-17 05:12:15,-17.8786,36.8883,85.44,51,71,6.62
165,Maniitsoq,GL,2021-12-17 05:12:15,65.4167,-52.9,13.26,69,16,8.16
166,Muroto,JP,2021-12-17 05:12:17,33.2833,134.15,57.29,60,9,32.3
167,Iranshahr,IR,2021-12-17 05:07:17,27.2025,60.6848,63.64,12,24,2.08
168,East London,ZA,2021-12-17 05:12:17,-33.0153,27.9116,61.79,52,99,6.73
169,Nhulunbuy,AU,2021-12-17 05:12:18,-12.2333,136.7667,93.81,49,40,9.22
170,Asau,RO,2021-12-17 05:12:18,46.4333,26.4,39.4,96,99,2.08
171,Port Elizabeth,ZA,2021-12-17 05:12:18,-33.918,25.5701,59.29,63,0,2.3
172,Sao Miguel Do Araguaia,BR,2021-12-17 05:12:19,-13.275,-50.1628,69.69,96,100,3.11
173,Cayenne,GF,2021-12-17 05:12:19,4.9333,-52.3333,80.1,85,40,1.99
174,Olafsvik,IS,2021-12-17 05:12:20,64.8945,-23.7142,42.13,80,100,23.33
175,Necochea,AR,2021-12-17 05:12:20,-38.5473,-58.7368,69.04,61,7,13.42
176,Fortuna,US,2021-12-17 05:12:21,40.5982,-124.1573,43.2,59,16,5.12
177,Khatanga,RU,2021-12-17 05:09:21,71.9667,102.5,-14.06,99,100,3.58
178,Valley City,US,2021-12-17 05:12:21,46.9233,-98.0032,4.19,78,12,8.05
179,Ridgecrest,US,2021-12-17 05:12:22,35.6225,-117.6709,46.15,66,40,4.0
180,Prince Rupert,CA,2021-12-17 05:02:40,54.3161,-130.3201,26.96,71,86,5.46
181,Sorland,NO,2021-12-17 05:12:22,67.667,12.6934,43.41,72,98,16.78
182,Trelew,AR,2021-12-17 05:08:03,-43.249,-65.3051,66.56,60,17,9.28
