City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
509,Rabak,SD,81.9,13.1809,32.74,
511,Los Cedrales,PY,77.29,-25.65,-54.7,
512,Oistins,BB,77.09,13.0667,-59.5333,
513,Grand Gaube,MU,86.4,-20.0064,57.6608,
516,Yaan,NG,85.24,7.3833,8.5667,
518,Acapulco,MX,75.02,16.8634,-99.8901,
519,Katiola,CI,80.4,8.1333,-5.1,
520,West Bay,KY,77.0,19.3667,-81.4167,
521,Cairns,AU,84.07,-16.9167,145.7667,
523,Abu Dhabi,AE,82.51,24.4667,54.3667,
534,Victoria Point,AU,79.52,-27.5833,153.3,
538,Bloemfontein,ZA,76.48,-29.1211,26.214,
543,Luau,AO,79.0,-10.7073,22.2247,
547,Bac Lieu,VN,81.37,9.285,105.7244,
551,Atambua,ID,79.7,-9.1061,124.8925,
557,Pretoria,ZA,78.08,-25.7449,28.1878,
558,Barkly West,ZA,76.28,-28.5354,24.5215,
562,Kuruman,ZA,79.99,-27.4524,23.4325,
563,Loandjili,CG,84.31,-4.7561,11.8578,
564,Bosaso,SO,80.58,11.2842,49.1816,
581,Kieta,PG,80.98,-6.2167,155.6333,
584,Bafoulabe,ML,80.92,13.8065,-10.8321,
587,Metro,ID,82.09,-5.1131,105.3067,
595,Kefamenanu,ID,80.89,-9.4467,124.4781,
596,Paracuru,BR,81.1,-3.41,-39.0306,
597,Lethem,GY,75.51,3.3803,-59.7968,
599,Bundaberg,AU,79.21,-24.85,152.35,
606,Innisfail,AU,79.72,-17.5333,146.0333,
610,Kulhudhuffushi,MV,81.99,6.6221,73.07,
611,Pangkalanbuun,ID,79.72,-2.6833,111.6167,
612,Harper,LR,82.38,4.375,-7.7169,
613,Mutoko,ZW,75.9,-17.397,32.2268,
616,Benguela,AO,80.6,-12.5763,13.4055,
618,Monrovia,LR,79.38,6.3005,-10.7969,
619,Mildura,AU,89.56,-34.2,142.15,
622,Manaus,BR,77.5,-3.1019,-60.025,
630,Mahibadhoo,MV,82.49,3.7833,72.9667,
633,Tabuk,PH,78.04,17.4189,121.4443,
639,Salinopolis,BR,79.11,-0.6136,-47.3561,
644,Isabela,PH,84.25,6.7085,121.9711,
650,Kampene,CD,85.33,-3.6,26.6667,
654,Nieves,PH,82.29,15.3274,120.9485,
657,Luanda,AO,82.4,-8.8368,13.2343,
661,Palu,ID,75.96,-0.8917,119.8707,
663,Saint-Paul,RE,84.31,-21.0096,55.2707,
