City ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
100,Ternate,ID,2021-12-21 09:23:36,0.8,127.4,81.12,79,100,6.93
101,San Quintin,MX,2021-12-21 09:23:36,30.4833,-115.95,56.61,59,98,2.37
102,Charters Towers,AU,2021-12-21 09:23:37,-20.1,146.2667,82.53,52,2,21.5
103,Grindavik,IS,2021-12-21 09:23:37,63.8424,-22.4338,35.55,100,75,4.61
104,Bluff,NZ,2021-12-21 09:23:38,-46.6,168.3333,59.81,68,17,30.06
105,Beloha,MG,2021-12-21 09:23:38,-25.1667,45.05,79.57,56,86,13.98
106,Westport,US,2021-12-21 09:23:18,41.1415,-73.3579,35.8,70,1,1.99
107,Otane,NZ,2021-12-21 09:23:39,-39.8833,176.6333,62.38,70,0,6.08
108,Norman Wells,CA,2021-12-21 09:23:39,65.282,-126.8329,17.89,94,100,10.51
109,Jiayuguan,CN,2021-12-21 09:23:40,39.8167,98.3,34.43,20,24,3.33
110,Clyde River,CA,2021-12-21 09:23:40,70.4692,-68.5914,10.63,92,100,5.75
111,Nouadhibou,MR,2021-12-21 09:23:41,20.931,-17.0347,66.18,68,96,12.66
112,Lorengau,PG,2021-12-21 09:23:41,-2.0226,147.2712,82.54,78,99,5.39
113,Ilulissat,GL,2021-12-21 09:23:42,69.2167,-51.1,48.22,34,92,23.02
114,Haines Junction,CA,2021-12-21 09:23:42,60.7522,-137.5108,6.75,85,100,0.0
115,Coria,ES,2021-12-21 09:23:43,39.9879,-6.5377,51.46,95,83,6.04
116,Gat,IL,2021-12-21 09:20:35,31.61,34.7642,55.78,11,100,17.76
117,Oostkamp,BE,2021-12-21 09:23:43,51.1188,3.231,33.82,92,4,1.99
118,Labuhan,ID,2021-12-21 09:23:44,-6.8844,112.2051,79.38,83,100,1.36
119,Victoria,HK,2021-12-21 09:20:40,22.2855,114.1577,67.32,84,100,1.01
120,Nikolskoye,RU,2021-12-21 09:23:44,59.7035,30.7861,10.4,96,100,1.45
121,Saldanha,ZA,2021-12-21 09:23:45,-33.0117,17.9442,72.7,63,12,10.42
122,Longyearbyen,SJ,2021-12-21 09:23:45,78.2186,15.6401,13.84,85,75,13.8
123,Kaitangata,NZ,2021-12-21 09:23:46,-46.2817,169.8464,61.93,48,26,10.92
124,Bontang,ID,2021-12-21 09:23:46,0.1333,117.5,80.98,80,94,6.22
125,Qaanaaq,GL,2021-12-21 09:23:46,77.484,-69.3632,37.74,67,100,19.28
126,Klaksvik,FO,2021-12-21 09:23:47,62.2266,-6.589,41.92,79,99,14.25
127,Bathsheba,BB,2021-12-21 09:23:47,13.2167,-59.5167,77.61,88,75,17.27
128,Simpang,ID,2021-12-21 09:23:48,-1.2667,104.0833,82.2,82,91,2.91
129,Codrington,AU,2021-12-21 09:23:48,-38.2667,141.9667,62.28,68,32,13.51
130,Havre-Saint-Pierre,CA,2021-12-21 09:23:49,50.2334,-63.5986,21.79,92,90,8.05
131,Luganville,VU,2021-12-21 09:23:49,-15.5333,167.1667,79.11,84,89,2.26
132,Faya,SA,2021-12-21 09:23:49,18.3851,42.4509,72.12,49,85,6.22
133,New Philadelphia,US,2021-12-21 09:23:50,40.4898,-81.4457,29.53,91,1,0.0
